time,x,rho,u,P,e
0.127034,0.630653,0.125,3.34365e-12,0.1,2
0.127034,0.635678,0.125,3.39334e-13,0.1,2
0.127034,0.640704,0.125,3.38611e-14,0.1,2
0.127034,0.645729,0.125,2.96005e-15,0.1,2
0.127034,0.650754,0.125,1.82014e-16,0.1,2
0.127034,0.655779,0.125,0,0.1,2
0.127034,0.660804,0.125,0,0.1,2
0.127034,0.665829,0.125,0,0.1,2
0.127034,0.670854,0.125,0,0.1,2
0.127034,0.675879,0.125,0,0.1,2
0.127034,0.680905,0.125,0,0.1,2
0.127034,0.68593,0.125,0,0.1,2
0.127034,0.690955,0.125,0,0.1,2
0.127034,0.69598,0.125,0,0.1,2
0.127034,0.701005,0.125,0,0.1,2
0.127034,0.70603,0.125,0,0.1,2
0.127034,0.711055,0.125,0,0.1,2
0.127034,0.71608,0.125,0,0.1,2
0.127034,0.721106,0.125,0,0.1,2
0.127034,0.726131,0.125,0,0.1,2
0.127034,0.731156,0.125,0,0.1,2
0.127034,0.736181,0.125,0,0.1,2
0.127034,0.741206,0.125,0,0.1,2
0.127034,0.746231,0.125,0,0.1,2
0.127034,0.751256,0.125,0,0.1,2
0.127034,0.756281,0.125,0,0.1,2
0.127034,0.761307,0.125,0,0.1,2
0.127034,0.766332,0.125,0,0.1,2
0.127034,0.771357,0.125,0,0.1,2
0.127034,0.776382,0.125,0,0.1,2
0.127034,0.781407,0.125,0,0.1,2
0.127034,0.786432,0.125,0,0.1,2
0.127034,0.791457,0.125,0,0.1,2
0.127034,0.796482,0.125,0,0.1,2
0.127034,0.801508,0.125,0,0.1,2
0.127034,0.806533,0.125,0,0.1,2
0.127034,0.811558,0.125,0,0.1,2
0.127034,0.816583,0.125,0,0.1,2
0.127034,0.821608,0.125,0,0.1,2
0.127034,0.826633,0.125,0,0.1,2
0.127034,0.831658,0.125,0,0.1,2
0.127034,0.836683,0.125,0,0.1,2
0.127034,0.841709,0.125,0,0.1,2
0.127034,0.846734,0.125,0,0.1,2
0.127034,0.851759,0.125,0,0.1,2
0.127034,0.856784,0.125,0,0.1,2
0.127034,0.861809,0.125,0,0.1,2
0.127034,0.866834,0.125,0,0.1,2
0.127034,0.871859,0.125,0,0.1,2
0.127034,0.876884,0.125,0,0.1,2
0.127034,0.88191,0.125,0,0.1,2
0.127034,0.886935,0.125,0,0.1,2
0.127034,0.89196,0.125,0,0.1,2
0.127034,0.896985,0.125,0,0.1,2
0.127034,0.90201,0.125,0,0.1,2
0.127034,0.907035,0.125,0,0.1,2
0.127034,0.91206,0.125,0,0.1,2
0.127034,0.917085,0.125,0,0.1,2
0.127034,0.922111,0.125,0,0.1,2
0.127034,0.927136,0.125,0,0.1,2
0.127034,0.932161,0.125,0,0.1,2
0.127034,0.937186,0.125,0,0.1,2
0.127034,0.942211,0.125,0,0.1,2
0.127034,0.947236,0.125,0,0.1,2
0.127034,0.952261,0.125,0,0.1,2
0.127034,0.957286,0.125,0,0.1,2
0.127034,0.962312,0.125,0,0.1,2
0.127034,0.967337,0.125,0,0.1,2
0.127034,0.972362,0.125,0,0.1,2
0.127034,0.977387,0.125,0,0.1,2
0.127034,0.982412,0.125,0,0.1,2
0.127034,0.987437,0.125,0,0.1,2
0.127034,0.992462,0.125,0,0.1,2
0.127034,0.997487,0.125,0,0.1,2
0.127034,1.00251,0.125,0,0.1,2
0.127034,1.00754,0.125,0,0.1,2
0.127034,1.01256,0.125,0,0.1,2
