time,x,rho,u,P,e
0.0101389,-0.0252525,5.99924,19.5975,460.894,192.063
0.0101389,-0.0151515,5.99924,19.5975,460.894,192.063
0.0101389,-0.00505051,5.99924,19.5975,460.894,192.063
0.0101389,0.00505051,5.99924,19.5975,460.894,192.063
0.0101389,0.0151515,5.99924,19.5975,460.894,192.063
0.0101389,0.0252525,5.99924,19.5975,460.894,192.063
0.0101389,0.0353535,5.99924,19.5975,460.894,192.063
0.0101389,0.0454545,5.99924,19.5975,460.894,192.063
0.0101389,0.0555556,5.99924,19.5975,460.894,192.063
0.0101389,0.0656566,5.99924,19.5975,460.894,192.063
0.0101389,0.0757576,5.99924,19.5975,460.894,192.063
0.0101389,0.0858586,5.99924,19.5975,460.894,192.063
0.0101389,0.0959596,5.99924,19.5975,460.894,192.063
0.0101389,0.106061,5.99924,19.5975,460.894,192.063
0.0101389,0.116162,5.99924,19.5975,460.894,192.063
0.0101389,0.126263,5.99924,19.5975,460.894,192.063
0.0101389,0.136364,5.99924,19.5975,460.894,192.063
0.0101389,0.146465,5.99924,19.5975,460.894,192.063
0.0101389,0.156566,5.99924,19.5975,460.894,192.063
0.0101389,0.166667,5.99924,19.5975,460.894,192.063
0.0101389,0.176768,5.99924,19.5975,460.894,192.063
0.0101389,0.186869,5.99924,19.5975,460.894,192.063
0.0101389,0.19697,5.99924,19.5975,460.894,192.063
0.0101389,0.207071,5.99924,19.5975,460.894,192.063
0.0101389,0.217172,5.99924,19.5975,460.894,192.063
0.0101389,0.227273,5.99924,19.5975,460.894,192.063
0.0101389,0.237374,5.99924,19.5975,460.894,192.063
0.0101389,0.247475,5.99924,19.5975,460.894,192.063
0.0101389,0.257576,5.99924,19.5975,460.894,192.063
0.0101389,0.267677,5.99924,19.5975,460.894,192.063
0.0101389,0.277778,5.99924,19.5975,460.894,192.063
0.0101389,0.287879,5.99924,19.5975,460.894,192.063
0.0101389,0.29798,5.99924,19.5975,460.894,192.063
0.0101389,0.308081,5.99924,19.5975,460.894,192.063
0.0101389,0.318182,5.99924,19.5975,460.894,192.064
0.0101389,0.328283,5.99924,19.5975,460.894,192.063
0.0101389,0.338384,5.99924,19.5975,460.894,192.064
