time,x,rho,u,P,e
0.129292,0.781407,0.125,0,0.1,2
0.129292,0.786432,0.125,0,0.1,2
0.129292,0.791457,0.125,0,0.1,2
0.129292,0.796482,0.125,0,0.1,2
0.129292,0.801508,0.125,0,0.1,2
0.129292,0.806533,0.125,0,0.1,2
0.129292,0.811558,0.125,0,0.1,2
0.129292,0.816583,0.125,0,0.1,2
0.129292,0.821608,0.125,0,0.1,2
0.129292,0.826633,0.125,0,0.1,2
0.129292,0.831658,0.125,0,0.1,2
0.129292,0.836683,0.125,0,0.1,2
0.129292,0.841709,0.125,0,0.1,2
0.129292,0.846734,0.125,0,0.1,2
0.129292,0.851759,0.125,0,0.1,2
0.129292,0.856784,0.125,0,0.1,2
0.129292,0.861809,0.125,0,0.1,2
0.129292,0.866834,0.125,0,0.1,2
0.129292,0.871859,0.125,0,0.1,2
0.129292,0.876884,0.125,0,0.1,2
0.129292,0.88191,0.125,0,0.1,2
0.129292,0.886935,0.125,0,0.1,2
0.129292,0.89196,0.125,0,0.1,2
0.129292,0.896985,0.125,0,0.1,2
0.129292,0.90201,0.125,0,0.1,2
0.129292,0.907035,0.125,0,0.1,2
0.129292,0.91206,0.125,0,0.1,2
0.129292,0.917085,0.125,0,0.1,2
0.129292,0.922111,0.125,0,0.1,2
0.129292,0.927136,0.125,0,0.1,2
0.129292,0.932161,0.125,0,0.1,2
0.129292,0.937186,0.125,0,0.1,2
0.129292,0.942211,0.125,0,0.1,2
0.129292,0.947236,0.125,0,0.1,2
0.129292,0.952261,0.125,0,0.1,2
0.129292,0.957286,0.125,0,0.1,2
0.129292,0.962312,0.125,0,0.1,2
0.129292,0.967337,0.125,0,0.1,2
0.129292,0.972362,0.125,0,0.1,2
0.129292,0.977387,0.125,0,0.1,2
0.129292,0.982412,0.125,0,0.1,2
0.129292,0.987437,0.125,0,0.1,2
0.129292,0.992462,0.125,0,0.1,2
0.129292,0.997487,0.125,0,0.1,2
0.129292,1.00251,0.125,0,0.1,2
0.129292,1.00754,0.125,0,0.1,2
0.129292,1.01256,0.125,0,0.1,2
